서울	서울특별시	조회	초소형825	경형1,260	소형1,946
부산	부산광역시	조회	초소형750	경형1,200	소형1,860
대구	대구광역시	조회	초소형800	경형1,250	소형1,860
인천	인천광역시	조회	초소형825	경형1,350	소형2,190
광주	광주광역시	조회	초소형770	경형1,188	소형1,885
대전	대전광역시	조회	초소형756	경형1,237	소형2,007
울산	울산광역시	조회	초소형715	경형1,170	소형1,898
세종	세종특별자치시	조회	초소형750	경형1,200	소형1,860
경기	수원시	조회	초소형790	경형1,300	소형2,190
경기	성남시	조회	초소형800	경형1,417	소형2,299
경기	의정부시	조회	초소형790	경형1,275	소형2,068
경기	안양시	조회	초소형825	경형1,350	소형2,190
경기	부천시	조회	초소형802	경형1,312	소형2,129
경기	광명시	조회	초소형825	경형1,350	소형2,190
경기	평택시	조회	초소형930	경형1,522	소형2,469
경기	동두천시	조회	초소형870	경형1,425	소형2,311
경기	안산시	조회	초소형825	경형1,350	소형2,190
경기	고양시	조회	초소형820	경형1,350	소형2,190
경기	과천시	조회	초소형871	경형1,425	소형2,312
경기	구리시	조회	초소형800	경형1,400	소형2,312
경기	남양주시	조회	초소형800	경형1,350	소형2,060
경기	오산시	조회	초소형917	경형1,500	소형2,260
경기	시흥시	조회	초소형775	경형1,275	소형2,068
경기	군포시	조회	초소형825	경형1,350	소형2,190
경기	의왕시	조회	초소형825	경형1,350	소형2,190
경기	하남시	조회	초소형825	경형1,350	소형2,190
경기	용인시	조회	초소형870	경형1,425	소형2,311
경기	파주시	조회	초소형825	경형1,350	소형2,190
경기	이천시	조회	초소형850	경형1,400	소형2,311
경기	안성시	조회	초소형916	경형1,500	소형2,433
경기	김포시	조회	초소형825	경형1,350	소형2,190
경기	화성시	조회	초소형970	경형1,525	소형2,411
경기	광주시	조회	초소형825	경형1,350	소형2,312
경기	양주시	조회	초소형871	경형1,425	소형2,312
경기	포천시	조회	초소형870	경형1,425	소형2,311
경기	여주시	조회	초소형870	경형1,425	소형2,398
경기	연천군	조회	초소형870	경형1,425	소형2,311
경기	가평군	조회	초소형871	경형1,425	소형2,312
경기	양평군	조회	초소형870	경형1,425	소형2,311
강원	춘천시	조회	초소형1,090	경형1,700	소형2,158
강원	원주시	조회		경형1,700	소형2,158
강원	강릉시	조회	초소형1,090		소형2,158
강원	동해시	조회	초소형1,090	경형1,700	소형2,158
강원	태백시	조회	초소형1,090		소형2,158
강원	속초시	조회		경형1,700	소형2,158
강원	삼척시	조회	초소형1,090	경형1,700	소형2,158
강원	홍천군	조회	초소형1,090	경형1,700	소형2,158
강원	횡성군	조회		경형1,700	소형2,158
강원	영월군	조회	초소형1,090	경형1,700	소형2,158
강원	평창군	조회	초소형1,090	경형1,700	소형2,158
강원	정선군	조회	초소형1,090		소형2,158
강원	철원군	조회	초소형1,090		소형2,158
강원	화천군	조회		경형1,700	소형2,158
강원	양구군	조회	초소형1,090		소형2,158
강원	인제군	조회	초소형1,090	경형1,700	소형2,158
강원	고성군	조회	초소형1,090		소형2,158
강원	양양군	조회	초소형1,090		소형2,158
